"New Sort","Original Sort","Year","Trip","Ship","Comments","Transit","Arrival","Departure","Port","Port City","Port State","Port Country","Area","Original Date Span","Original Complete Port","","","","","","","","","",""
"148","159","","","","US Naval Academy","1","03/26/40","03/27/40","1","Annapolis","Maryland","USA","","26-27 Mar 40","Annapolis, Maryland","","","","","","","","","",""
"149","160","","","","","12","04/08/40","04/09/40","1","Balboa","","Panama","","08-09  Apr 40","Balboa, Panama","","","","","","","","","",""
"150","161","","","","Underway Drills and Paint Ship","2","04/11/40","04/15/40","4","Magdalena Bay","","Mexico","","","Magdalena Bay, Mex.","","","","","","","","","",""
"151","162","","","","","7","04/22/40","04/26/40","4","San Diego","California","USA","","22-26 Apr 40","San Diego, Calif","","","","","","","","","",""
"152","163","","","","","1","04/27/40","04/29/40","2","Santa Barbara","California","USA","","27-29 Apr 40","Santa Barbara","","","","","","","","","",""
"153","164","","","","12,350 miles","2","05/01/40","05/01/40","0","Tiburon","California","USA","","05/01/40","Tiburon","","","","","","","","","",""
"154","","","","","","","","","","","","","","","","","","","","","","","","",""
"155","167","1940-2","Navy Training","USS Montgomery","Day cruise on USS MONTGOMERY (DM-17) for naval orientation & training","","08/19/40","08/19/40","0","Tiburon","California","USA","","08/19/40","Tiburon","","","","","","","","","",""
"156","168","","","","","0","08/19/40","08/19/40","0","San Francisco Bay","California","USA","","","SF Bay past Golden Gate","","","","","","","","","",""
"157","169","","","","","0","08/19/40","08/19/40","0","Tiburon","California","USA","","08/19/40","Tiburon","","","","","","","","","",""
"158","","","","","","","","","","","","","","","","","","","","","","","","",""
"159","173","1940-3","CG Training","USCGC  Shoshone","Day cruise on USCGC Shoshone (one day only) for drills, orientation and training","","10/01/40","10/01/40","0","Tiburon","California","USA","","Oct 40","Tiburon","","","","","","","","","",""
"160","174","","","","","0","10/01/40","10/02/40","1","SF Bay and Farallone Islands","California","USA","","","SF Bay and Farallone Islands","","","","","","","","","",""
"161","175","","","","","0","10/02/40","10/02/40","0","Tiburon","California","USA","","Oct 40","Tiburon","","","","","","","","","",""
"162","","","","","","","","","","","","","","","","","","","","","","","","",""
"163","179","1941","East Pacific","California State","","","01/15/41","01/15/41","0","San Francisco","California","USA","","01/15/41","San Francisco","","","","","","","","","",""
"164","180","","","","","2","01/17/41","01/24/41","7","Long Beach","California","USA","","17-24 Jan 41","Long Beach","","","","","","","","","",""
"165","181","","","","","4","01/28/41","02/04/41","7","San Diego","California","USA","","28 Jan-04 Feb 41","San Diego","","","","","","","","","",""
"166","182","","","","","6","02/10/41","02/12/41","2","Acapulco","Guerrero","Mexico","","10-12 Feb 41","Acapulco, Mexico","","","","","","","","","",""
"167","183","","","","","6","02/18/41","02/22/41","4","Balboa","","Panama","","18-22 Feb 41","Balboa, Panama","","","","","","","","","",""
"168","184","","","","and Lima","6","02/28/41","03/06/41","6","Callao","","Peru","","28 Feb-06 Mar 41","Callao, Peru","","","","","","","","","",""
"169","185","","","","","6","03/12/41","03/15/41","3","Balboa","","Panama","","12-15 Mar 41","Balboa, Panama","","","","","","","","","",""
"170","186","","","","Cancelled","13","03/28/41","04/11/41","14","Honolulu","Hawaii","USA","","28 Mar-11 Apr 41","Honolulu, T.H.","","","","","","","","","",""
"171","187","","","","Cancelled","1","04/12/41","04/14/41","2","Hilo","Hawaii","USA","","12-14 Apr 41","Hilo, Hawaii, T.H.","","","","","","","","","",""
"172","188","","","","","-17","03/28/41","04/01/41","4","Long Beach","California","USA","","28 Mar-01 Apr 41","Long Beach","","","","","","","","","",""
"173","189","","","","","1","04/02/41","04/04/41","2","Santa Barbara","California","USA","","02-04 Apr 41","Santa Barbara","","","","","","","","","",""
"174","190","","","","","1","04/05/41","04/05/41","0","San Francisco","California","USA","","04/05/41","San Francisco","","","","","","","","","",""
"175","191","","","","cancelled due to lack of time","","","","","Eureka","California","USA","","","Eureka CA","","","","","","","","","",""
"176","192","","","","","","04/05/41","04/11/41","6","Stockton","California","USA","","05-11 Apr 41","Stockton","","","","","","","","","",""
"177","193","","","","9,482 miles","1","04/12/41","04/12/41","0","San Francisco","California","USA","","04/12/41","San Francisco","","","","","","","","","",""
"178","","","","","","","","","","","","","","","","","","","","","","","","",""
"179","196","1942","So. America","Golden State","planned prior to onset of WWII but cancelled due to Pearl Harbor","","01/15/42","01/15/42","0","San Francisco","California","USA","","01/15/42","San Francisco","","","","","","","","","",""
"180","197","","","","","2","01/17/42","01/23/42","6","Los Angeles","California","USA","","17-23 Jan 42","Los Angeles","","","","","","","","","",""
"181","198","","","","","1","01/24/42","01/28/42","4","San Diego","California","USA","","24-28 Jan 42","San Diego","","","","","","","","","",""
"182","199","","","","","13","02/10/42","02/14/42","4","Balboa","","Panama","","10-14 Feb 42","Balboa, Panama","","","","","","","","","",""
"183","200","","","","and Lima","6","02/20/42","02/28/42","8","Callao","","Peru","","20-28 Feb 42","Callao, Peru","","","","","","","","","",""
"184","201","","","","","6","03/06/42","03/10/42","4","Balboa","","Panama","","06-10 Mar 42","Balboa, Panama","","","","","","","","","",""
"185","202","","","","","6","03/16/42","03/18/42","2","Salina Cruz","","","","16-18 Mar 42","Salina Cruz","","","","","","","","","",""
"186","203","","","","","2","03/20/42","03/26/42","6","Acapulco","Guerrero","Mexico","","20-26 Mar 42","Acapulco, Mexico","","","","","","","","","",""
"187","204","","","","during WWII, training cruises","6","04/01/42","04/06/42","5","Los Angeles","California","USA","","01-06 Apr 42","Los Angeles","","","","","","","","","",""
"188","205","","","","limited to inland waters of SFBay.","1","04/07/42","04/11/42","4","Santa Barbara","California","USA","","07-11 Apr 42","Santa Barbara ","","","","","","","","","",""
"189","206","","","","","2","04/13/42","04/13/42","0","San Francisco","California","USA","","04/13/42","San Francisco","","","","","","","","","",""
"190","","","","","","","","","","","","","","","","","","","","","","","","",""
"191","209","1942-1","War Cruise I ""Spring '42""","Golden State","The ""war cruises"" were sporatic and may have lasted from  a couple of days to a month,  always within confines of sfbay","","03/16/42","03/16/42","0","San Francisco","California","USA","","03/16/42","San Francisco","","","","","","","","","",""
"192","210","","","","","2","03/18/42","03/20/42","2","San Francisco Bay","California","USA","","18-20 Mar 42","So. San Fran Bay ","","","","","","","","","",""
"193","211","","","","","4","03/24/42","03/27/42","3","San Pablo Bay","California","USA","","24-27 Mar 42","San Pablo Bay","","","","","","","","","",""
"194","212","","","","","3","03/30/42","04/06/42","7","Stockton","California","USA","","30 Mar-06 Apr 42","Stockton","","","","","","","","","",""
"195","213","","","","","1","04/07/42","04/10/42","3","San Francisco Bay","California","USA","","07-10 Apr 42","So. San Fran Bay ","","","","","","","","","",""
"196","214","","","","","3","04/13/42","04/14/42","1","San Francisco Bay","California","USA","","13-14 Apr 42","So. San Fran Bay ","","","","","","","","","",""
"197","215","","","","","1","04/15/42","04/16/42","1","Redwood Creek","","","","15-16 Apr 42","Redwood Creek","","","","","","","","","",""
"198","216","","","","Cancelled","1","04/17/42","04/17/42","0","San Francisco Bay","California","USA","","04/17/42","So. Bay","","","","","","","","","",""
"199","217","","","","","4","04/21/42","04/24/42","3","San Pablo Bay","California","USA","","21-24 Apr 42","San Pablo Bay","","","","","","","","","",""
"200","218","","","","   ","4","04/28/42","04/30/42","2","San Francisco Bay","California","USA","","28-30 Apr 42","So. San Fran Bay ","","","","","","","","","",""
"201","219","","","","   ","5","05/05/42","05/08/42","3","San Francisco Bay","California","USA","","05-08 May 42","So. San Fran Bay ","","","","","","","","","",""
"202","220","","","","","3","05/11/42","05/15/42","4","San Francisco Bay","California","USA","","11-15 May 42","So. San Fran Bay ","","","","","","","","","",""
